gene,rad_oxidative_n,rad_oxidative_mean,rad_oxidative_std,other_transversion_n,other_transversion_mean,other_transversion_std,transition_n,transition_mean,transition_std,rad_vs_otherTV_U,rad_vs_otherTV_p,rad_vs_otherTV_p_bonferroni,rad_vs_otherTV_rank_biserial,rad_vs_transition_p
TERT,2839,-0.0010501144636932836,0.0015123408833045621,5503,-0.0011691209101447318,0.00160645334968927,4387,-0.000755306824970441,0.001271682878195679,7618737.5,0.03218259906110907,0.3218259906110907,0.02467781991148066,9.988974646775481e-55
ATM,5146,-0.0023379857976567266,0.003513716331172434,19767,-0.0020284272080917077,0.0029239998028637326,13463,-0.0012315457690517412,0.002371767339022083,51030771.0,0.6445078264556596,1.0,-0.0033479818352519786,2.239959596603326e-134
NFE2L2,2048,-0.001106718962546438,0.002395468256631653,6505,-0.0010560843140047208,0.0020975994933694754,4285,-0.0006732906037756832,0.0015652755041387625,6631663.0,0.381222199620027,1.0,0.004422229294773206,2.965559132608637e-10
CLOCK,2387,-0.001461022011046136,0.0023935743760387846,7709,-0.0014073832564849397,0.002201182152997985,5047,-0.0009609190147419555,0.0018119544569038335,9324113.5,0.8393744308938607,1.0,-0.013414426513485456,4.691409717660781e-21
MSTN,1294,-0.0014722836441382005,0.0030228968991899887,5970,-0.001122681888903006,0.0022708057948971207,3645,-0.0007693879071250047,0.0017654271104050555,3740823.0,0.037495623637499406,0.3749562363749941,0.03152470233703297,2.1634468570944037e-31
RAD51,1896,-0.0009972250034034503,0.0019503525114662973,5169,-0.000977800729127612,0.0016578963423483674,3557,-0.0006237917647523963,0.0012021695110393884,4953185.0,0.7572027030045734,1.0,-0.010810348613488507,2.1624336290898996e-28
BRCA1,4026,-0.0010505500446192613,0.0019960708375778465,13463,-0.001011041363059682,0.0018826895189928013,9346,-0.0005446901585186878,0.0013621026589210594,27246754.5,0.6979477667001486,1.0,-0.005377491525318634,9.355859884889486e-106
TP53,2085,-0.001007682328029788,0.0019107409277443162,5596,-0.0009039039800131295,0.0017578324805475254,4066,-0.0005851551135420154,0.0014519653786844078,5549034.5,0.0004915966400523109,0.004915966400523109,0.04881792921631245,3.535943320491836e-42
CHEK2,2110,-0.0012177752940010686,0.0019508098851320308,6543,-0.0011049812127558916,0.0016970777984335495,4575,-0.0007043451298781432,0.001392177481500874,6841229.0,0.26838382991686316,1.0,0.008929046127948315,1.647676931236012e-45
DNMT3A,3211,-0.0013593418952350265,0.0020247512303623377,7366,-0.0013103940112740328,0.0020819794536159064,5398,-0.0008924936709381024,0.0015967835623050142,11432893.5,0.0032321672983326786,0.032321672983326784,0.033250105085246506,1.0264314461899704e-51
